IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
160006770,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Sunday,01-03-16 00:00,10:30,MISSION,NONE,16TH ST / LANDERS ST,-94.4275626,39.76457523,"(39.7645752317615, -94.427562596985)",1.60007E+13
160006786,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Sunday,01-03-16 00:00,15:45,NORTHERN,"ARREST, BOOKED",0 Block of HEMLOCK ST,-94.419203,39.78743983,"(39.7874398309112, -94.419203004268)",1.60007E+13
160006952,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Sunday,01-03-16 00:00,17:02,MISSION,"ARREST, BOOKED",26TH ST / TREAT AV,-94.41269014,39.74936883,"(39.7493688284532, -94.412690142308)",1.60007E+13
160007057,NON-CRIMINAL,AIDED CASE,Sunday,01-03-16 00:00,17:01,INGLESIDE,NONE,500 Block of CORDOVA ST,-94.43460928,39.70920105,"(39.7092010462399, -94.434609280352)",1.60007E+13
160007110,VEHICLE THEFT,STOLEN TRUCK,Sunday,01-03-16 00:00,15:40,CENTRAL,NONE,500 Block of POST ST,-94.41088283,39.78792094,"(39.7879209395533, -94.410882825551)",1.60007E+13
160007132,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,01-03-16 00:00,09:00,CENTRAL,NONE,GREEN ST / BATTERY ST,-94.40143275,39.80045665,"(39.8004566471039, -94.401432754722)",1.60007E+13
160138652,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Tuesday,02/16/2016 12:00:00 AM,12:40,INGLESIDE,NONE,3300 Block of MISSION ST,-94.42112803,39.74355505,"(39.7435550542265, -94.421128029505)",1.60139E+13
160138771,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Tuesday,02/16/2016 12:00:00 AM,13:10,TENDERLOIN,NONE,100 Block of OFARRELL ST,-94.40724409,39.78656476,"(39.7865647607685, -94.407244087032)",1.60139E+13
160139490,RECOVERED VEHICLE,"VEHICLE, RECOVERED, AUTO",Tuesday,02/16/2016 12:00:00 AM,16:35,MISSION,"ARREST, BOOKED",18TH ST / GUERRERO ST,-94.423803,39.76156559,"(39.7615655928045, -94.423803001901)",1.60139E+13
160139490,OTHER OFFENSES,PAROLE VIOLATION,Tuesday,02/16/2016 12:00:00 AM,16:35,MISSION,"ARREST, BOOKED",18TH ST / GUERRERO ST,-94.423803,39.76156559,"(39.7615655928045, -94.423803001901)",1.60139E+13
